ORG_CODE,ORG_NAME,Month,LEFT_DEPARTMENT_ECDS_RATE,LEFT_DEPARTMENT_TOTAL,MSITAE_COMPARISON_ECDS,MSITAE_COMPARISON_ECDS_RATE,MSITAE_COMPARISON_MSITAE,TIME_TO_INITIAL_ASSESSMENT_95,TIME_TO_INITIAL_ASSESSMENT_DENOM,TIME_TO_INITIAL_ASSESSMENT_MEDIAN,TIME_TO_TREATMENT_95,TIME_TO_TREATMENT_DENOM,TIME_TO_TREATMENT_MEDIAN,TOTAL_TIME_95,TOTAL_TIME_95_ADMITTED,TOTAL_TIME_95_NON_ADM,TOTAL_TIME_DENOM,TOTAL_TIME_DENOM_ADMITTED,TOTAL_TIME_DENOM_NON_ADM,TOTAL_TIME_MEDIAN,TOTAL_TIME_MEDIAN_ADMITTED,TOTAL_TIME_MEDIAN_NON_ADM,UNPLANNED_REATTENDANCES,UNPLANNED_REATTENDANCES_DENOM,UNPLANNED_REATTENDANCES_RATE,Year,Total Attendances,Year_Start
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,2023-08-01,2.94117647058823,225.0,7650.0,99.6742671,7674.0,42.0,1675.0,5.0,196.0,6645.0,50.0,512.75,637.8,404.0,7645.0,2145.0,5500.0,180.0,237.0,165.0,490.0,7515.0,6.52029274783765,2023-24,26321069,2023-04-01
RKE,WHITTINGTON HEALTH NHS TRUST,2023-08-01,9.07960199,730.0,8040.0,100.0,8042.0,16.0,1440.0,3.0,280.0,7145.0,74.0,717.949999999999,1366.14999999999,536.0,8040.0,1180.0,6865.0,198.0,405.0,182.0,800.0,7635.0,10.4780615586116,2023-24,26321069,2023-04-01
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,2023-08-01,1.20481927710843,95.0,7885.0,88.9452904681331,8865.0,38.8,0.0,8.0,84.0,7730.0,18.0,129.699999999999,128.149999999999,130.0,7885.0,660.0,7230.0,49.0,52.0,49.0,255.0,7575.0,3.36633663366336,2023-24,26321069,2023-04-01
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-08-01,2.36514522821576,285.0,12050.0,64.2152944311217,18765.0,74.0,3250.0,9.0,234.0,11760.0,55.0,873.649999999999,1270.5,489.0,12050.0,2850.0,9195.0,186.0,457.0,151.0,670.0,11995.0,5.58566069195498,2023-24,26321069,2023-04-01
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,2023-08-01,,,,,,,,,258.0,13105.0,84.0,,,,,,,,,,,,,2023-24,26321069,2023-04-01
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,2023-08-01,6.12813370473537,550.0,8975.0,99.5011086474501,9018.0,40.9,2205.0,-5.0,304.75,7685.0,66.0,950.0,1106.0,910.349999999999,8965.0,810.0,8155.0,206.0,326.0,195.0,690.0,8715.0,7.91738382099827,2023-24,26321069,2023-04-01
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,2023-08-01,0.0,0.0,1760.0,100.0,1758.0,,,,,,,139.149999999999,,139.149999999999,1760.0,,1760.0,42.0,,42.0,,,,2023-24,26321069,2023-04-01
V3G5N,URGENT TREATMENT CENTRE,2023-08-01,0.0,0.0,1410.0,0.0,0.0,26.0,0.0,26.0,,,,112.099999999999,,112.099999999999,1400.0,,1400.0,20.0,,20.0,,,,2023-24,26321069,2023-04-01
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,2023-08-01,9.4942748091603,995.0,10480.0,99.6197718631178,10518.0,103.0,3480.0,17.0,400.0,9045.0,94.0,867.1,1067.79999999999,630.449999999999,10480.0,3185.0,7290.0,237.0,420.0,209.0,795.0,10145.0,7.83637259733859,2023-24,26321069,2023-04-01
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2023-08-01,3.54037267080745,570.0,16100.0,95.5206170275882,16857.0,19.0,2180.0,4.0,,,,451.099999999998,577.799999999999,391.0,16000.0,3425.0,12575.0,179.0,239.0,163.0,725.0,9990.0,7.25725725725725,2023-24,26321069,2023-04-01
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2023-08-01,5.59725498606047,1305.0,23315.0,99.4879453808406,23433.0,43.0,3505.0,8.0,287.0,21245.0,63.0,884.0,1660.3,550.0,23290.0,4575.0,18715.0,193.0,439.0,164.0,2120.0,22170.0,9.56247180875056,2023-24,26321069,2023-04-01
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2023-08-01,7.03223105902051,840.0,11945.0,60.6037544393708,19710.0,143.649999999999,4110.0,15.0,434.0,9605.0,100.0,1169.75,1498.69999999999,715.0,11945.0,4305.0,7640.0,237.0,435.0,199.0,770.0,10235.0,7.52320468978993,2023-24,26321069,2023-04-01
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2023-08-01,4.59487898982813,655.0,14255.0,99.7899894994749,14284.0,31.0,2335.0,7.0,428.5,13530.0,55.0,871.75,1219.74999999999,642.0,14245.0,2895.0,11350.0,162.0,454.0,129.0,940.0,10985.0,8.55712335002275,2023-24,26321069,2023-04-01
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2023-08-01,6.35337358886846,1210.0,19045.0,100.026260504201,19042.0,43.0,3500.0,7.0,379.0,16095.0,89.0,677.0,859.049999999999,517.0,18990.0,6280.0,12710.0,113.0,108.0,114.0,1785.0,16690.0,10.6950269622528,2023-24,26321069,2023-04-01
AXG,WILTSHIRE HEALTH & CARE,2023-08-01,24.3055555555555,525.0,2160.0,100.0,2161.0,,,,171.5,1630.0,36.0,230.0,228.399999999999,230.199999999999,2160.0,205.0,1955.0,79.0,66.5,81.0,125.0,2140.0,5.8411214953271,2023-24,26321069,2023-04-01
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,2023-08-01,6.89381933438985,870.0,12620.0,99.4092162268609,12697.0,30.0,1715.0,9.0,231.0,10630.0,52.0,542.0,835.899999999999,445.699999999998,12620.0,2550.0,10065.0,181.0,233.0,175.0,1160.0,11430.0,10.1487314085739,2023-24,26321069,2023-04-01
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,2023-08-01,8.92520427404148,1420.0,15910.0,99.905808477237,15924.0,50.8499999999999,3445.0,11.0,269.0,14490.0,46.0,580.0,785.0,474.0,15910.0,3255.0,12655.0,175.0,293.0,152.0,1610.0,15710.0,10.248249522597,2023-24,26321069,2023-04-01
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,2023-08-01,4.99825235931492,1430.0,28610.0,94.6410850148858,30232.0,45.0,4585.0,8.0,351.25,19415.0,74.0,937.0,1428.79999999999,708.0,28605.0,5970.0,22635.0,203.0,272.0,194.0,2195.0,22170.0,9.90076680198466,2023-24,26321069,2023-04-01
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,2023-08-01,1.24593716143011,115.0,9230.0,101.372872048325,9104.0,34.0,1580.0,0.0,262.55,6130.0,48.0,556.0,878.25,395.449999999999,9230.0,1695.0,7530.0,95.5,308.0,77.0,530.0,6960.0,7.61494252873563,2023-24,26321069,2023-04-01
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,2023-08-01,2.35173824130879,230.0,9780.0,99.7450280469148,9803.0,43.4499999999998,2650.0,12.5,206.0,9360.0,50.0,732.099999999996,1071.24999999999,476.0,9585.0,2985.0,6605.0,199.0,262.5,173.0,670.0,9320.0,7.18884120171673,2023-24,26321069,2023-04-01
AD903,URGENT CARE CENTRE,2023-08-01,3.97058823529411,270.0,6800.0,0.0,0.0,,,,217.0,4080.0,54.0,357.199999999999,265.0,428.0,6775.0,3690.0,3085.0,88.0,20.0,163.0,0.0,0.0,0.0,2023-24,26321069,2023-04-01
RW4,MERSEY CARE NHS FOUNDATION TRUST,2023-08-01,11.8863049095607,1610.0,13545.0,112.781015820149,12010.0,10.9,0.0,10.0,161.0,11440.0,38.0,256.0,224.399999999999,258.0,13545.0,1015.0,12530.0,97.0,74.0,98.0,1775.0,12960.0,13.6959876543209,2023-24,26321069,2023-04-01
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2023-08-01,2.50487058168661,450.0,17965.0,100.08356545961,17950.0,45.0,3925.0,11.0,310.0,13570.0,84.0,1238.0,2394.0,585.649999999999,17960.0,3810.0,14150.0,165.0,464.0,141.0,1300.0,13875.0,9.369369369,2023-24,26321069,2023-04-01
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-08-01,4.27722772277227,540.0,12625.0,87.24948169,14468.0,119.0,3415.0,33.0,294.0,11980.0,73.0,638.799999999999,906.0,500.6,12625.0,3255.0,9370.0,210.0,274.0,193.0,835.0,12230.0,6.82747342600163,2023-24,26321069,2023-04-01
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,2023-08-01,0.446428571428571,20.0,4480.0,100.0,4479.0,29.25,215.0,5.0,190.799999999999,3285.0,42.0,296.349999999999,297.7,296.0,4475.0,1445.0,3025.0,105.0,31.0,123.0,320.0,3490.0,9.16905444126074,2023-24,26321069,2023-04-01
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,2023-08-01,4.46629788977668,1090.0,24405.0,85.272536687631,28622.0,130.0,4855.0,37.0,339.0,21985.0,64.0,733.0,966.0,562.0,24405.0,5615.0,18790.0,178.0,379.0,149.0,1610.0,23275.0,6.9172932330827,2023-24,26321069,2023-04-01
D0W0K,HEALTH & WELLBEING CENTRE,2023-08-01,0.0,0.0,4190.0,0.0,0.0,,,,103.0,4160.0,21.0,103.0,,103.0,4160.0,,4160.0,21.0,,21.0,340.0,4145.0,8.20265379975874,2023-24,26321069,2023-04-01
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",2023-08-01,1.31958762886597,160.0,12125.0,100.0,12126.0,42.0,1980.0,9.0,285.0,10675.0,81.0,1350.79999999999,1904.49999999999,567.149999999999,12125.0,2805.0,9320.0,170.0,355.0,154.0,1080.0,11420.0,9.45709281961471,2023-24,26321069,2023-04-01
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,2023-08-01,4.92450638792102,1060.0,21525.0,99.3079584775086,21673.0,32.0,4985.0,7.0,278.0,19940.0,72.0,831.649999999997,1331.0,522.0,21490.0,5270.0,16220.0,167.0,308.0,147.0,2140.0,21080.0,10.1518026565464,2023-24,26321069,2023-04-01
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,2023-08-01,7.92682926829268,975.0,12300.0,69.3153000845308,17744.0,61.0,4000.0,9.0,510.0,11330.0,63.0,1503.0,1754.79999999999,899.25,12300.0,4025.0,8275.0,329.0,621.0,249.0,885.0,12070.0,7.33222866611433,2023-24,26321069,2023-04-01
RCF,AIREDALE NHS FOUNDATION TRUST,2023-08-01,10.5527638190954,630.0,5970.0,95.4436450839328,6255.0,41.0,1475.0,9.0,382.0,5340.0,93.0,628.55,841.599999999999,520.199999999999,5970.0,1535.0,4435.0,218.0,326.0,191.0,415.0,5760.0,7.20486111111111,2023-24,26321069,2023-04-01
AD913,BECKENHAM BEACON UCC,2023-08-01,2.00286123032904,70.0,3495.0,96.94868239,3605.0,,,,152.0,3165.0,40.0,231.0,279.0,223.0,3490.0,390.0,3100.0,100.0,119.0,98.0,,,,2023-24,26321069,2023-04-01
RJ2,LEWISHAM AND GREENWICH NHS TRUST,2023-08-01,7.61589404,1380.0,18120.0,78.0697975010771,23211.0,57.0,4130.0,11.0,107.0,14550.0,16.0,808.0,1355.0,608.0,18100.0,3510.0,14585.0,221.0,401.0,205.0,1420.0,14500.0,9.79310344827586,2023-24,26321069,2023-04-01
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,2023-08-01,11.0091743119266,60.0,545.0,11.6204690831556,4690.0,,,,68.05,360.0,17.5,228.0,210.399999999999,228.0,545.0,25.0,520.0,85.0,56.0,87.0,0.0,325.0,0.0,2023-24,26321069,2023-04-01
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,2023-08-01,4.46985447,645.0,14430.0,97.07366297,14865.0,35.0,2690.0,9.0,322.0,12735.0,81.0,741.0,967.399999999999,533.0,14425.0,4055.0,10375.0,192.0,324.0,166.0,1320.0,13500.0,9.77777777777777,2023-24,26321069,2023-04-01
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,2023-08-01,0.876424189307624,50.0,5705.0,100.263620386643,5688.0,0.0,0.0,0.0,183.0,5130.0,78.0,212.0,231.75,211.05,5705.0,45.0,5660.0,109.0,151.5,109.0,215.0,5175.0,4.15458937198067,2023-24,26321069,2023-04-01
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,2023-08-01,3.84114583333333,590.0,15360.0,102.845664546367,14935.0,73.0,4185.0,19.0,242.0,14770.0,49.0,924.0,1180.0,537.0,15355.0,4080.0,11275.0,178.0,431.0,145.0,1730.0,15055.0,11.4911989372301,2023-24,26321069,2023-04-01
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,2023-08-01,4.73239436619718,840.0,17750.0,67.0570457121269,26472.0,23.0,4960.0,7.0,306.0,16905.0,79.0,775.0,1003.19999999999,514.0,17745.0,5855.0,11890.0,208.0,317.0,179.0,1435.0,16680.0,8.6031175059952,2023-24,26321069,2023-04-01
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,2023-08-01,0.0,0.0,1675.0,103.715170278637,1616.0,3.0,0.0,3.0,,,,266.899999999999,,266.899999999999,1625.0,,1625.0,102.0,,102.0,,,,2023-24,26321069,2023-04-01
AXT05,CORBY URGENT CARE CENTRE,2023-08-01,2.1875,175.0,8000.0,0.0,0.0,14.2499999999999,0.0,9.0,132.0,7810.0,46.0,193.0,222.049999999999,188.149999999999,8000.0,540.0,7460.0,81.0,88.0,81.0,340.0,7485.0,4.54241816967267,2023-24,26321069,2023-04-01
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2023-08-01,1.74603174603174,55.0,3150.0,160.714285714285,1959.0,106.749999999999,10.0,32.5,161.049999999999,1340.0,48.5,229.0,178.25,230.0,3150.0,345.0,2805.0,87.0,35.0,95.0,135.0,1875.0,7.19999999999999,2023-24,26321069,2023-04-01
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,2023-08-01,5.538727823,640.0,11555.0,99.8272138228941,11577.0,58.0,3130.0,11.0,348.0,10915.0,76.0,764.0,1055.75,555.0,11555.0,2845.0,8710.0,215.0,357.5,203.0,730.0,8555.0,8.533021625,2023-24,26321069,2023-04-01
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,2023-08-01,4.46471435429668,465.0,10415.0,101.659346022449,10246.0,12.0,2140.0,0.0,252.0,9955.0,74.0,1026.59999999999,1701.79999999999,471.0,10415.0,2115.0,8305.0,181.0,435.0,157.0,1030.0,9915.0,10.388300554715,2023-24,26321069,2023-04-01
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,2023-08-01,3.86313465783664,525.0,13590.0,149.917264202978,9067.0,18.0,1645.0,4.0,231.5,11790.0,29.0,762.0,1356.69999999999,552.0,13560.0,2265.0,11300.0,179.0,315.0,168.0,1410.0,12160.0,11.5953947368421,2023-24,26321069,2023-04-01
NR318,SEATON HOUSE,2023-08-01,,,,,,,,,186.0,4735.0,33.0,,,,,,,,,,,,,2023-24,26321069,2023-04-01
NTPAN,PRACTICE PLUS GROUP URGENT TREATMENT CENTRE - SOUTHAMPTON,2023-08-01,0.0,0.0,5165.0,0.0,0.0,10.0,0.0,10.0,120.8,0.0,43.0,244.0,125.0,244.0,5160.0,0.0,5155.0,109.0,41.5,109.0,,,,2023-24,26321069,2023-04-01
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,2023-08-01,8.62573099415204,590.0,6840.0,100.0,6839.0,54.0,1445.0,13.0,433.849999999999,6045.0,109.0,1847.99999999999,3248.0,947.699999999999,6795.0,1525.0,5265.0,230.0,744.5,213.0,510.0,6150.0,8.29268292682926,2023-24,26321069,2023-04-01
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,2023-08-01,3.01204819277108,450.0,14940.0,99.8996990972918,14953.0,69.0,1820.0,21.0,237.399999999999,14175.0,33.0,434.0,675.25,320.849999999998,14940.0,2095.0,12845.0,74.0,264.0,66.0,1320.0,14365.0,9.18900104420466,2023-24,26321069,2023-04-01
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2023-08-01,6.30833601544898,980.0,15535.0,101.902263037061,15247.0,38.0,2190.0,8.0,279.0,13035.0,68.0,512.0,194.75,515.0,15535.0,405.0,15130.0,164.0,38.5,169.0,1255.0,14115.0,8.89125044279135,2023-24,26321069,2023-04-01
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2023-08-01,6.46604310695404,1590.0,24590.0,101.506707946336,24225.0,29.0,3925.0,6.0,396.0,11305.0,108.0,724.0,1132.0,540.0,24270.0,3640.0,20630.0,170.0,451.0,150.0,1200.0,12440.0,9.64630225080385,2023-24,26321069,2023-04-01
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,2023-08-01,4.74592521572387,495.0,10430.0,99.9520843315764,10435.0,72.0,1860.0,9.0,327.0,9930.0,91.0,920.5,1647.65,502.799999999999,10430.0,2170.0,8265.0,187.0,354.5,174.0,845.0,10220.0,8.26810176125244,2023-24,26321069,2023-04-01
RN7,DARTFORD AND GRAVESHAM NHS TRUST,2023-08-01,3.5844915874177,490.0,13670.0,99.1657598839318,13786.0,33.0,2150.0,7.0,274.0,8715.0,62.0,652.449999999998,1155.0,582.0,13670.0,1180.0,12490.0,168.0,239.0,163.0,695.0,9275.0,7.4932614555256,2023-24,26321069,2023-04-01
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,2023-08-01,11.1886079628015,1925.0,17205.0,99.9709471237652,17210.0,121.0,4165.0,22.0,370.699999999998,14985.0,91.0,1190.69999999999,1672.5,714.0,17205.0,3810.0,13395.0,242.0,558.0,208.0,1475.0,16920.0,8.71749408983451,2023-24,26321069,2023-04-01
NQT,HCRG CARE LTD,2023-08-01,0.93167701863354,30.0,3220.0,0.0,0.0,,,,521.199999999999,335.0,39.0,569.0,357.25,569.899999999999,3215.0,80.0,3130.0,127.5,93.0,129.5,0.0,30.0,0.0,2023-24,26321069,2023-04-01
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-08-01,11.2715944491645,1990.0,17655.0,68.9917936694021,25588.0,14.0,4370.0,4.0,400.0,13520.0,90.0,1670.5,2178.0,752.0,17645.0,5710.0,11935.0,228.0,394.0,196.0,1390.0,14560.0,9.54670329670329,2023-24,26321069,2023-04-01
NIT03,SELLY OAK HEALTH CENTRE,2023-08-01,0.0,0.0,3485.0,0.0,0.0,,,,,,,318.349999999999,,318.349999999999,3455.0,,3455.0,92.0,,92.0,,,,2023-24,26321069,2023-04-01
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-08-01,3.728489484,585.0,15690.0,98.64822383,15904.0,10.0,2390.0,2.0,351.0,8990.0,83.0,809.0,1269.39999999999,516.799999999999,15690.0,3425.0,12265.0,156.0,398.0,126.0,610.0,9565.0,6.37741766858337,2023-24,26321069,2023-04-01
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2023-08-01,4.73411154345006,730.0,15420.0,87.2418670438472,17673.0,7.0,4320.0,1.0,449.0,12690.0,91.0,694.949999999998,884.599999999999,581.0,15400.0,3930.0,11475.0,209.0,370.0,176.0,1315.0,14555.0,9.03469598076262,2023-24,26321069,2023-04-01
NTV0W,WOKING WALK IN CENTRE,2023-08-01,0.0,0.0,2595.0,99.6161228406909,2605.0,,,,,,,275.0,,275.0,2590.0,,2590.0,117.0,,117.0,,,,2023-24,26321069,2023-04-01
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2023-08-01,4.31398710251278,970.0,22485.0,88.6108374384236,25374.0,25.0,4935.0,6.0,234.099999999998,20900.0,56.0,767.0,1232.64999999999,508.0,22475.0,4730.0,17745.0,160.0,385.0,130.0,1945.0,21525.0,9.03600464576074,2023-24,26321069,2023-04-01
K3O1X,MALTON URGENT TREATMENT CENTRE,2023-08-01,0.0,0.0,930.0,0.0,0.0,,,,118.499999999999,35.0,50.0,125.549999999999,110.6,126.0,930.0,20.0,910.0,50.0,41.0,50.0,,,,2023-24,26321069,2023-04-01
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,2023-08-01,3.93592677345537,430.0,10925.0,98.8687782805429,11048.0,49.0,2595.0,11.0,295.0,8610.0,66.0,1367.79999999999,1710.19999999999,733.0,10925.0,3040.0,7885.0,174.0,403.0,149.0,815.0,10075.0,8.08933002481389,2023-24,26321069,2023-04-01
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,2023-08-01,3.66430260047281,310.0,8460.0,99.6466431095406,8492.0,44.5999999999999,2090.0,7.0,314.0,8145.0,87.0,506.0,572.0,433.55,8460.0,2750.0,5710.0,210.0,261.0,176.0,670.0,8370.0,8.0047789725209,2023-24,26321069,2023-04-01
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2023-08-01,3.96968603392277,550.0,13855.0,64.0249537892791,21641.0,53.0,4050.0,11.0,307.0,11360.0,81.0,716.0,941.0,553.0,13855.0,3280.0,10575.0,212.0,378.0,186.0,835.0,11795.0,7.07927087749046,2023-24,26321069,2023-04-01
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,2023-08-01,7.55199454483464,2215.0,29330.0,99.1213247718823,29591.0,47.0,6240.0,7.0,621.0,27090.0,102.0,872.0,1623.1,601.0,29280.0,5730.0,23550.0,210.0,387.0,187.0,3010.0,28835.0,10.4387029651465,2023-24,26321069,2023-04-01
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,2023-08-01,8.66141732283464,110.0,1270.0,89.7526501766784,1413.0,,,,285.15,600.0,107.0,301.299999999999,422.249999999999,293.149999999999,1270.0,50.0,1220.0,136.0,170.5,134.0,105.0,1045.0,10.0478468899521,2023-24,26321069,2023-04-01
F7H7R,MIU/UTC @ TETBURY HOSPITAL TRUST LTD,2023-08-01,2.10526315789473,10.0,475.0,0.0,0.0,,,,34.7999999999999,465.0,6.0,128.999999999999,108.199999999999,133.899999999999,475.0,25.0,450.0,50.0,41.0,51.0,35.0,455.0,7.69230769230769,2023-24,26321069,2023-04-01
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,2023-08-01,1.823708207,60.0,3290.0,100.152207001522,3285.0,,,,0.0,3230.0,0.0,217.549999999999,191.6,218.0,3290.0,270.0,3020.0,83.5,74.0,85.0,170.0,2700.0,6.29629629629629,2023-24,26321069,2023-04-01
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2023-08-01,8.4313725490196,1075.0,12750.0,99.96079969,12753.0,50.0,1635.0,8.0,414.549999999999,2325.0,98.0,1903.39999999999,2700.59999999999,1027.94999999999,12735.0,2685.0,10050.0,230.0,928.0,187.0,715.0,10040.0,7.1215139442231,2023-24,26321069,2023-04-01
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,2023-08-01,8.08897876643073,800.0,9890.0,73.1238447319778,13523.0,54.0,2615.0,14.0,1477.0,8255.0,24.0,1066.5,1335.64999999999,752.899999999999,9890.0,3270.0,6625.0,269.0,441.0,229.0,715.0,9595.0,7.45179781136008,2023-24,26321069,2023-04-01
NQT5F,SKELMERSDALE WALK IN CENTRE,2023-08-01,2.12765957446808,40.0,1880.0,101.075268817204,1861.0,,,,141.0,1795.0,54.0,184.0,184.25,184.0,1880.0,70.0,1815.0,84.0,73.0,84.0,125.0,1765.0,7.08215297450424,2023-24,26321069,2023-04-01
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,2023-08-01,3.48770726129216,305.0,8745.0,93.93125671,9308.0,47.1999999999999,10.0,9.0,127.0,8440.0,12.0,223.0,219.399999999999,223.0,8745.0,275.0,8470.0,88.0,74.0,88.0,770.0,7190.0,10.7093184979137,2023-24,26321069,2023-04-01
NTV0B,ASHFORD WALK-IN-CENTRE,2023-08-01,0.0,0.0,2425.0,99.3852459016393,2438.0,,,,,,,242.0,,242.0,2420.0,,2420.0,109.0,,109.0,,,,2023-24,26321069,2023-04-01
NVE16,FAVERSHAM MIU,2023-08-01,0.0,0.0,2455.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2023-24,26321069,2023-04-01
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,2023-08-01,1.22950819672131,15.0,1220.0,100.0,1220.0,8.7,0.0,6.0,99.6000000000001,1135.0,14.0,169.0,138.399999999999,169.75,1220.0,75.0,1145.0,62.0,67.0,61.0,35.0,1030.0,3.39805825242718,2023-24,26321069,2023-04-01
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,2023-08-01,3.1570841889117,615.0,19480.0,100.154241645244,19451.0,34.8499999999999,3985.0,7.0,237.0,17590.0,49.0,456.0,602.25,359.0,19440.0,4555.0,14885.0,133.0,238.0,109.0,1940.0,19005.0,10.2078400420941,2023-24,26321069,2023-04-01
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2023-08-01,5.69300345836658,1070.0,18795.0,96.8564802885854,19404.0,74.9,3065.0,16.0,345.0,14560.0,39.0,669.799999999999,1177.89999999999,539.399999999999,18585.0,3350.0,15235.0,121.0,211.5,107.0,1655.0,15045.0,11.0003323363243,2023-24,26321069,2023-04-01
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,2023-08-01,3.03353984191412,710.0,23405.0,100.753336203185,23228.0,22.0,5040.0,5.0,320.0,19980.0,67.0,1456.04999999999,2628.79999999999,606.0,23320.0,4680.0,18640.0,139.0,311.0,124.0,2560.0,21830.0,11.7269812185066,2023-24,26321069,2023-04-01
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2023-08-01,2.77368679430535,565.0,20370.0,100.0,20368.0,48.0,3275.0,14.0,233.0,19550.0,38.0,378.0,495.599999999998,322.0,20370.0,6405.0,13965.0,82.0,173.0,72.0,2910.0,20305.0,14.331445456784,2023-24,26321069,2023-04-01
NXL03,URGENT CARE CENTRE,2023-08-01,0.0,0.0,1230.0,0.0,0.0,,,,,,,155.0,,155.0,1210.0,,1210.0,46.0,,46.0,,,,2023-24,26321069,2023-04-01
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2023-08-01,2.5275173257236,310.0,12265.0,100.245198201879,12237.0,25.0,3030.0,5.0,251.0,11955.0,76.0,559.449999999998,717.0,390.399999999999,12230.0,4340.0,7895.0,183.0,241.0,156.0,820.0,11910.0,6.88497061293031,2023-24,26321069,2023-04-01
NNF,CITY HEALTH CARE PARTNERSHIP CIC,2023-08-01,3.77675199328577,450.0,11915.0,0.0,0.0,2.0,10.0,2.0,105.0,11465.0,21.0,278.0,231.0,280.0,11915.0,500.0,11415.0,111.0,88.0,112.0,270.0,7320.0,3.68852459016393,2023-24,26321069,2023-04-01
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023-08-01,5.73654390934844,405.0,7060.0,82.7667057444314,8531.0,43.0,1850.0,10.0,261.949999999999,6540.0,56.0,888.149999999999,1404.59999999999,550.0,7060.0,1470.0,5590.0,209.0,449.5,185.0,550.0,6880.0,7.99418604651162,2023-24,26321069,2023-04-01
